id,name,error_tries,discovering_tries,uuid,timestamp,timestamp_s,duration,host,source,current_status,outgoing,incoming,degree,pages
25953,bqkrk6lvfjzm6enxr5dnayr25iwsh7ob4tpbghev56abphkasyaa.b32.i2p,1,4,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-20 09:40:01,2019-08-02 14:14:14,18994.216666666667,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,3
25962,q36ixmjw7niomtxvsptvdmtfy5q4igcn3gkw2dt6jdwxmanwoaya.b32.i2p,1,2,91f2d422-7e07-11e9-8770-080027530170,2019-07-20 09:55:02,2019-08-02 12:23:40,18868.633333333335,i2pProjectM4,FLOODFILL,FINISHED,10,0,0,26
26083,sc2psmpgvhy4witmedjqunywznukyzyz4y6izdeddkb4k6qugsya.b32.i2p,1,7,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-20 16:29:46,2019-07-20 23:59:38,449.8666666666667,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,22
26335,of6qaqyrlobltwabik2olbszm5wz44kp6pooj7jx4rsaivoegsaa.b32.i2p,1,1,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-21 03:06:15,2019-07-21 05:46:26,160.18333333333334,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,28
26369,hbt2fpnsos2vh2rtii4fiimjcj3bxoxqrk6izjnoaggagx5lkxna.b32.i2p,1,19,91f2d422-7e07-11e9-8770-080027530170,2019-07-21 04:45:01,2019-08-03 05:45:11,18780.166666666668,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,6
26412,czsohl6lnu3uzbuylbo3prgwddgij2elrtsxt3rqqwkuvlgjx6xq.b32.i2p,1,22,91f2d422-7e07-11e9-8770-080027530170,2019-07-21 07:15:04,2019-08-03 08:50:18,18815.233333333334,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,1
26468,oaqypy5kawprk4de5y6zusguh4jf6f4fkbid7unfb7etzjzw5vya.b32.i2p,1,2,91f2d422-7e07-11e9-8770-080027530170,2019-07-21 11:15:03,2019-08-02 12:30:42,17355.65,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,4
26626,qbucvyldwfft3bd6d3cc4wptyn7bgdtcbfqcnjaxhslxh4commaa.b32.i2p,1,18,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-22 00:18:16,2019-07-22 18:17:55,1079.65,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,7
26685,x3n25owuxyzvkku3wjb5qoqjavjb6yi46w4ifdbcewqud6pklioa.b32.i2p,1,4,91f2d422-7e07-11e9-8770-080027530170,2019-07-22 02:05:05,2019-08-02 14:31:23,16586.3,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,144
26766,kwvc5562pdjx4sbhqv3l7mdk6ttru7clrjeo4eu7w75gerkxtseq.b32.i2p,1,288,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-22 03:36:56,2019-08-04 10:57:24,19160.466666666667,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,28
26794,gf2qhkh6cow5dfdonq45yan33vkpxuy7un2topxmwnnz7vwvxjda.b32.i2p,1,300,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-22 05:20:26,2019-08-04 23:04:08,19783.7,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
26800,6n2n7ie36yqt22mdt7dmauc6xat5ycye4yu56yc2nwvs2msdwfdq.b32.i2p,2,6,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-22 05:30:03,2019-08-02 17:11:13,16541.166666666668,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,342
26887,uylenqabtiwgincvxq7j4dbycdq3qagaqrwh6r67th2bkfyohrgq.b32.i2p,1,179,8b27a12c-7e07-11e9-ab7e-080027b13a52,2019-07-22 11:52:34,2019-07-30 20:30:43,12038.15,i2pProjectM2,FLOODFILL,FINISHED,0,0,0,1
26956,uigeect5hvsyqzryb4xynrxgssmayv3hppybbe7mhbt3uuhwxj7q.b32.i2p,1,4,8dc195e6-7e07-11e9-af84-0800270851f6,2019-07-22 17:26:21,2019-07-23 00:09:07,402.76666666666665,i2pProjectM3,FLOODFILL,FINISHED,0,0,0,28
27047,bdoduc7rhle54q3kyffv5wih57qtls66uppti4bwwzdtdgqco7pq.b32.i2p,1,131,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-22 22:25:03,2019-08-08 01:48:34,23243.516666666666,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,1
27048,gd27rknmfqvac4vga4juhniwuan4t2wysvyaf4bihkpnutr6kxra.b32.i2p,1,132,91f2d422-7e07-11e9-8770-080027530170,2019-07-22 22:35:03,2019-08-09 00:14:49,24579.766666666666,i2pProjectM4,FLOODFILL,FINISHED,0,0,0,347
27071,ifal4bmpxsxeyox2bxr2tjeocvg4m6crd5nadioe3d63vhf5q2jq.b32.i2p,1,83,fc20deb4-7d50-11e9-9629-08002702eafd,2019-07-23 00:00:02,2019-08-05 23:49:59,20149.95,i2pProjectM1,FLOODFILL,FINISHED,0,0,0,1
