Label,Source,Target
2268,860,6733
2269,860,1430
2270,860,413
648,935,955
1573,1015,2231
1574,1015,134
577,1045,228
578,1045,2734
579,1045,6136
580,1045,3680
581,1045,2931
582,1045,2140
583,1045,2056
1483,1097,536
1527,1116,3257
1528,1116,469
1529,1116,3484
1530,1116,976
1531,1116,2017
1532,1116,1595
1533,1116,713
1534,1116,3651
1535,1116,778
1536,1116,2581
1537,1116,3476
1538,1116,3465
1539,1116,2982
1540,1116,540
1541,1116,6253
1542,1116,1393
1543,1116,3718
609,1149,2659
610,1149,1441
611,1149,1396
612,1149,3620
613,1149,540
614,1149,1393
615,1149,1472
616,1149,1685
617,1149,3465
618,1149,2026
520,1184,3476
539,1343,3571
619,1384,2304
620,1384,1425
621,1384,2441
622,1384,3477
547,1393,3465
548,1393,134
549,1393,3845
550,1393,6132
551,1393,1201
552,1393,713
553,1393,1472
554,1393,3718
555,1393,2552
556,1393,718
557,1393,1396
558,1393,1430
559,1393,3792
560,1393,1747
561,1393,2476
562,1393,285
563,1393,6133
564,1393,659
565,1393,2647
566,1393,6134
567,1393,2117
568,1393,6135
569,1393,540
570,1393,3482
571,1393,529
572,1393,16
573,1393,325
574,1393,3608
575,1393,2993
576,1393,3620
1117,1396,1290
1118,1396,712
1119,1396,659
1120,1396,3465
1121,1396,2701
1122,1396,1685
1123,1396,3693
1124,1396,718
1125,1396,1497
1126,1396,3620
2480,1399,305
2481,1399,2304
2482,1399,3718
2483,1399,1814
2484,1399,3786
2485,1399,3516
2486,1399,5997
2487,1399,1512
2488,1399,1542
2489,1399,3053
2490,1399,767
2491,1399,2659
2492,1399,3790
2493,1399,630
2494,1399,1742
2495,1399,6194
2496,1399,2441
2497,1399,6087
2498,1399,6073
545,1471,134
546,1471,3476
540,1476,2192
541,1476,1685
542,1476,3620
543,1476,1396
2548,1554,2828
2549,1554,14434
2550,1554,1430
2551,1554,860
2552,1554,14435
1600,1562,467
544,1615,2441
506,1703,1631
1520,1783,1074
1673,2373,2984
1674,2373,2965
1675,2373,1393
1676,2373,3718
1677,2373,3540
1678,2373,3620
2408,2378,2860
2409,2378,6167
2410,2378,2282
2411,2378,98
2412,2378,2556
2413,2378,444
2414,2378,2476
2415,2378,1441
2416,2378,2056
2417,2378,6166
2418,2378,1108
505,2446,2761
1567,2498,1207
1568,2498,1441
1569,2498,2378
1570,2498,2009
1571,2498,2813
1572,2498,6096
593,2524,3285
133,2584,3693
134,2584,1685
135,2584,325
132,2652,3516
584,2659,1441
585,2659,1396
586,2659,3620
587,2659,540
588,2659,1393
589,2659,1472
590,2659,1685
591,2659,3465
592,2659,2026
645,2665,134
646,2665,860
647,2665,712
500,2699,6109
501,2699,781
502,2699,2526
1,2716,469
2,2716,1582
3,2716,3297
4,2716,2720
5,2716,47
